model,count
Escalade ESV Platinum Edition,56
Transit Connect XL,56
Sierra 1500 SLE,56
Rover Range Rover SV Autobiography Dynamic SWB,56
A6 45 Premium Plus,56
F-350 Lariat Crew Cab Super Duty DRW,56
Shelby GT350R Base,55
Corsair Reserve,55
E-Class E 300,55
Maxima SL,55
i3 Base w/Range Extender,55
R8 Base,55
300 Base,55
LaCrosse Leather,55
Charger Base,55
Sienna XLE Limited,55
S7 2.9T Prestige,55
Mustang Boss 302,55
S7 4.0T Premium Plus,55
Phantom,55
Bentayga Activity Edition,54
Blazer 1LT,54
Highlander Base,54
Arnage R,54
200 C,54
Enclave Essence,54
R8 5.2 quattro Spyder,53
Rover Discovery S,53
Grand Cherokee L Overland,53
R8 5.2,53
Civic Si Base,53
F-350 King Ranch,53
XC90 T6 Inscription,53
911 Carrera C4S,53
Escape Limited,53
F-150 FX4,53
Huracan LP610-4,53
Sierra 1500 SLE1 Extended Cab,53
Highlander Platinum,53
XF 35t R-Sport,53
Tahoe LS,53
Integra LS,53
SQ7 4.0T,52
530 i,52
NSX Base,52
Huracan EVO Coupe,52
CR-V EX-L,52
Model S 85D,52
Equinox LT,52
440 Gran Coupe 440i xDrive,52
Ram 2500 SLT Mega Cab,52
F-350 Lariat Super Duty Crew Cab,52
Legacy 2.5i Premium,52
Accord EX-L 2.0T,52
TL 3.7,52
F-TYPE S,52
Sprinter 3500XD High Roof,52
325 xi,52
Magnum Base,51
Silverado 1500 High Country,51
4Runner 4WD,51
Camry SE,51
Wrangler Unlimited Sport S,50
GS 350 F Sport,50
Q50 Hybrid Sport,50
AMG GL AMG GL 63 4MATIC,50
Grand Cherokee Summit,50
Solstice Base,50
Renegade Trailhawk,50
K5 EX,50
Ranger Sport SuperCab,50
ES 300h Base,50
ES 330 Base,50
TSX Base,50
Huracan Tecnica Coupe,50
CT5-V V-Series,50
Pathfinder SV,50
Camry XSE,50
Encore GX Essence,49
Ranger XLT,49
TT Roadster quattro,49
Ram 2500 SLT Quad Cab,49
S80 3.2,49
Savana 2500 Work Van,49
Q3 S line Premium Plus,49
Telluride EX,49
F-250 Limited,49
C-Class C 300 4MATIC Luxury,49
Prelude Type SH,48
GLE 350 Base,48
Q40 Base,48
F-TYPE S British Design Edition,48
Kona EV SEL,48
Telluride LX,48
F-PACE 35t Premium,48
Atlas 3.6L SEL Premium R-Line,48
Golf R Base,48
Atlas Cross Sport 3.6L V6 SEL Premium,48
Forte Koup EX,48
Mazda6 i Grand Touring,47
F-150 SVT Raptor,47
Z4 2.5i Roadster,47
Tundra Hybrid Capstone,47
Town & Country Touring,47
Matrix XRS,47
Phantom Drophead Coupe Drophead,47
F-TYPE,47
S80 T6,47
S40 T5,47
Supra A91-MT Edition,47
Mazda6 Carbon Edition,47
Ram 1500 Quad Cab,47
MDX w/Advance Package,47
Ram 3500 Quad Cab DRW,47
MX-5 Miata RF Grand Touring,47
Flex SEL,46
Model X 100D,46
1500 Cheyenne Extended Cab,46
F-250 XL Crew Cab Super Duty,46
Ranger Edge SuperCab,46
Forester 2.5 XT,46
Tacoma Double Cab,46
Beetle 1.8T,46
Acadia SLE-1,46
AMG GLA 45 Base 4MATIC,46
Passat 2.5 SE,46
Rover Range Rover Sport 3.0 Supercharged HST,46
Genesis Coupe 2.0T R-Spec,46
Transit Connect XL w/Rear Symmetrical Doors,46
AMG CLA 45 Base 4MATIC,46
X1 xDrive 28i,46
200 Limited,46
Outback Touring XT,45
SRX Standard,45
LS V8,45
300ZX Base,45
Santa Cruz 2.5T Limited,45
Colorado LT,45
M850 i xDrive,45
Q8 55 Premium,45
Pacifica Launch Edition,45
Colorado Z85,45
Challenger SE,45
Q4 e-tron 50 Premium Plus,45
X5 M50i,45
Caprice Classic Base,45
C-Class C 250 Sport,45
Forte LXS,45
Gallardo LP550-2,45
Sky Base,44
Rogue SV,44
FX37 Base,44
Quattroporte S Q4 GranLusso,44
Passport Elite,44
Quattroporte S GranLusso,44
Suburban 1500 LS,44
TLX Tech,44
Grand Cherokee WK Laredo X,44
TLX Base,44
Sierra 1500 Limited Elevation,44
Mazda3 i Sport,44
FX50 Base,44
Tundra 1794,44
Ridgeline Black Edition,44
X4 M Competition,44
Jetta 1.4T R-Line,44
Boxster GTS,44
CT5-V Blackwing,43
Ram 2500 Quad Cab,43
Q50 Hybrid Premium,43
Rover Discovery Sport SE,43
Mustang Bullitt,43
F-350 XLT,43
Town & Country LX,43
350Z NISMO,43
M760 M760i xDrive,43
Canyon Denali,43
Panamera 4 Platinum Edition,43
Elantra N Base,43
G-Class G 63 AMG,43
MKZ Hybrid Base,43
C-Class C55 AMG Sport,43
2500 Powerwagon,43
GLA-Class GLA 45 AMG,43
4Runner TRD Off Road,43
MDX 3.5L w/Technology Package,42
Ram 1500 SLT Mega Cab,42
Silverado 2500 LTZ H/D Extended Cab,42
ALPINA B7 xDrive,42
Corvette Stingray Z51,42
911 Carrera Turbo,42
718 Cayman GTS,42
911 Carrera 4 Cabriolet,42
Rover Range Rover SWB,42
Wraith Base,42
Silverado 2500 LT H/D Extended Cab,42
Ram Van 1500,42
Forester 2.5 X,42
Cherokee Sport,42
Avalanche LTZ,42
MX-5 Miata RF Club,42
Maybach S 580 4MATIC,42
RX-8 Sport,42
Prius Two,42
Sprinter Normal Roof,42
Escalade Sport,42
RS Q8 4.0T,42
Gallardo SE,42
MazdaSpeed3 Grand Touring,42
Titan SL,42
FR-S Monogram,42
Kicks S,42
FF Base,41
Navigator L,41
Fusion Hybrid SE,41
Monte Carlo Supercharged SS,41
840 i xDrive,41
S-Class S 65 AMG,41
X1 sDrive28i,41
Golf Alltrack TSI SE,41
CX-7 Sport,41
Escalade Base,41
Beetle 2.0T S,41
A3 2.0T,41
E250 Cargo,41
RAV4 SE,41
Sierra 3500 Denali,41
Lancer Evolution GSR,41
RS 4 Base,41
Avenger SE,41
S90 T5 Momentum,41
650 Gran Coupe i,41
XC70 3.2,41
G6 GTP,41
Ghibli S GranLusso,40
Corvette Stingray,40
Cayman R,40
Leaf SV PLUS,40
911 GT2 RS,40
MKT Base,40
MKS Base,40
428 i,40
GT-R Black Edition,40
Baja Base,40
Armada SV,40
F-TYPE V6 S,40
Flying Spur V8,40
323 Ci,40
Excursion XLS,39
RC 350 F Sport,39
S-Class S 450,39
Mazda3 s Grand Touring,39
C-Class C 250 Luxury,39
Grand Wagoneer Base,39
S-Class S 550,39
CX-9 Touring,39
4Runner Venture Special Edition,39
S4 Base,39
LX 470 Base,39
G80 2.5T,39
Arteon 2.0T SEL R-Line,39
A8 L 4.0T,39
A3 2.0 TDI Premium Plus,38
SRX Performance Collection,38
Explorer sport,38
MKC Select,38
Ghibli Base,38
Q5 3.0T Premium Plus,38
550 Gran Turismo i,38
Santa Fe SEL Plus 2.4,38
640 Gran Coupe i,38
Tahoe High Country,38
NV200 SV,38
Rover Range Rover Sport SE MHEV,38
Q5 2.0T Premium,38
Navigator Select,38
ProMaster 3500 Tradesman,38
E-PACE 300 Sport,38
Tucson SEL,38
C30 T5 Premier Plus,38
E-Class E 450 4MATIC,38
RS 3 2.5T,37
A5 Sportback S line Premium Plus,37
Golf R 20th Anniversary Edition,37
Touareg TDI Lux,37
RX-8 R3,37
Tundra Grade,37
Eos 2.0T,37
F430 Berlinetta,37
Santa Fe GLS,37
Excursion XLT 4WD,37
Rover Defender,37
Model X P90D,37
A5 2.0T Prestige,37
E150 XLT,37
Wrangler S,37
C-Class C280 4MATIC,37
Arteon 2.0T SE,37
Boxster Black Edition,37
CLK-Class 500 Cabriolet,37
Fusion Hybrid Titanium,37
Montero Limited,37
Cascada Base,37
SQ8 4.0T Premium Plus,36
GTI Base,36
ILX Premium & A-SPEC Packages,36
Bronco Big Bend,36
GR86 Base,36
Wrangler Unlimited Freedom Edition,36
S60 B5 Inscription,36
Malibu Limited LT,36
Enclave 1XL,36
RDX Advance Package,36
Rover LR4 Lux,36
G8 GT,36
Lancer GTS,36
Gallardo LP570-4 Superleggera,36
Tundra Hybrid Limited,36
Palisade Limited,36
Rainier CXL,36
CLS-Class CLS 63 AMG S-Model 4MATIC,35
Q7 3.0T Premium,35
Bronco Badlands,35
GTO Base,35
C-Max Energi SE,35
Dakota SLT,35
Bronco XLT,35
Sorento SX,35
TLX Type S PMC Edition,35
Aventador LP700-4,35
Equinox Premier w/2LZ,35
CT5 Premium Luxury,35
S8 4.2 quattro,35
Mazda6 Grand Touring,35
Leaf SL,35
Commander Base,34
Challenger SRT Demon,34
Odyssey LX,34
Q4 e-tron Sportback Premium,34
G37 S Sport,34
CT6 Luxury,34
Impala 2LZ,34
Aventador LP750-4 Superveloce,34
tC Release Series 6.0,34
F-150 Heritage XL SuperCab Flareside,34
Accent GL,34
Taycan 4S,34
CTS 3.6L Luxury,34
X6 xDrive50i,34
Civic Si,34
Sorento S,34
New Beetle GLS,34
California T,34
Yukon XL AT4,34
Charger SE,34
Tahoe Base,34
Model S Plaid,34
Jetta 1.4T S,33
Sonic LT,33
Genesis Coupe 2.0T,33
TLX,33
M56 Base,33
Genesis 5,33
Compass Trailhawk,33
4Runner TRD Sport,33
Maxima 3.5 SR,33
Grand Cherokee L Summit,33
Genesis Coupe 3.8 R-Spec,33
Integra GS-R,33
Challenger GT,33
540 i,33
Pilot Black Edition,33
Mazda3 Grand Touring,33
SLS AMG Base,33
X2 xDrive28i,33
Accord Hybrid Base,32
Traverse LS,32
2500 Longhorn,32
A7 3.0T Premium,32
i3 120Ah w/Range Extender,32
LX 600 Premium,32
Touareg VR6 Lux,32
Express 3500 LT,32
F-250 XL SuperCab H/D,32
Cayenne E-Hybrid S,32
Titan S,32
Aventador S Base,32
740 Li,32
NV Passenger NV3500 HD SV V8,32
Protege DX,32
750 Li,32
LaCrosse Base,32
Odyssey Elite,32
440 i xDrive,32
Taycan,32
Sierra 2500 SLE,32
Malibu Premier,32
IS 250C Base,32
XC90 3.2 Premier Plus,31
Sierra 2500 SLE H/D Extended Cab,31
XC90 Hybrid T8 R-Design,31
Titan XD S,31
ID.4 Pro S,31
A4 3.2 Premium Plus quattro,31
Escape SEL,31
XJ6 Vanden Plas,31
SLK-Class SLK 250,31
Caliber Express,31
LS 500 F Sport,31
Express 1500 Base,31
Forester Base,31
XT6 Premium Luxury AWD,31
500 Sport,31
Passat 2.0T R-Line,31
Regal Turbo - Premium 1,31
440 Gran Coupe i,31
Bronco Base,31
MDX 3.5L Technology Package,31
Wrangler 80th Anniversary,31
RX 350 RX 350,30
AMG E 53 4MATIC,30
Sierra 3500 SLE,30
Eclipse GT,30
Sorento Hybrid EX,30
Optima S,30
Highlander Hybrid Limited,30
GT,30
CX-50 2.5 Turbo Premium Package,30
Magnum R/T,30
Bronco Heritage Edition Advanced,30
Q5 40 Premium,30
Explorer Timberline,30
750 Li xDrive,30
Prius v Three,29
XF XFR-S,29
Sebring LX,29
Q8 3.0T Premium,29
128 i,29
M37 x,29
TT RS Base,29
Veloster Turbo R-Spec,29
Edge SE,29
Highlander Hybrid XLE,29
CLS-Class CLS 400 4MATIC,29
718 Cayman S,29
ATS 2.0L Turbo,29
Lancer Sportback ES,29
740 iL,29
Silverado 1500 W/T,29
Impala Base,29
500 Lounge,29
CT4 Luxury,29
Ranger Lariat,29
430 Gran Coupe i xDrive,29
Continental GT GT Speed,29
Elantra SE,28
Model S 85,28
Cruze LT Automatic,28
Revero Base,28
Accord Hybrid Touring,28
Thunderbird Premium,28
MC20 Base,28
Cherokee X,28
Cayman GTS,28
Fit Sport,28
Fusion Energi Titanium,28
CLS-Class CLS500,28
135 is,28
CR-V LX,28
Coupe Cambiocorsa,28
Mazda3 Touring,28
Maxima GLE,28
Escalade Platinum Edition,28
XT5 Premium Luxury,28
RX-8 Grand Touring,28
F-350 XL,28
Viper GTC,28
TT 1.8L,27
Pacifica Touring,27
RDX,27
Hardtop Cooper,27
G37 Sport,27
Aviator Luxury,27
Corsair Grand Touring,27
E-Class E55 AMG,27
ZDX Base,27
Quattroporte Modena Q4,27
Corsair Standard,27
NX 350 F SPORT Handling,27
86 Base,27
Wrangler Unlimited,27
XF 3.0 Portfolio,27
Juke NISMO RS,27
Lancer Evolution Base,27
XT5 Base,27
Altima 2.5 SV,27
XE 20d Prestige,27
Venza XLE,27
Outback 2.5 i Special Edition,27
Forester Premium,27
Corolla CE,27
Grand Caravan SE,27
Golf GTI 2.0T Autobahn,27
DTS Luxury,27
Focus SEL,27
Urus Pearl Capsule,27
RX 450h F Sport,27
Malibu LT,26
Golf GTI 2.0T S 4-Door,26
Continental Reserve,26
TT 3.2 Cabriolet quattro,26
86 860 Special Edition,26
XF 25t Premium,26
GL-Class GL 550,26
Atlas 3.6L SEL Premium,26
E-PACE S,26
XC60 T5 R-Design,26
Avalon Hybrid XLE Premium,26
RAV4 Hybrid XLE,26
Q70 3.7,26
tC Base,26
M-Class ML 350,26
Rover Range Rover P530 SE,26
XK R,26
Model S 70D,26
Sportage X-Pro,26
Sprinter 4500 High Roof,26
NX 300h Base,26
Challenger SRT 392,26
Atlas 3.6L SE w/Technology,25
Pickup Truck XE,25
Arteon 2.0T SEL Premium R-Line,25
Cube 1.8 S,25
Boxster RS 60 Spyder,25
Terrain Denali,25
Martin Vantage GT Base,25
Model S 90D,25
Sienna LE,25
Q3 45 S line Premium,25
i3 94 Ah,25
MX-5 Miata Club,25
750 iL,25
Ram 1500 Laramie,25
Levante S,24
XC60 Recharge Plug-In Hybrid T8 Inscription,24
F-250 Base,24
A8 4.0T,24
E-Class 400E,24
Z4 2.5i,24
Lucerne CXL,24
XE 25t,24
Golf GTI 2.0T SE w/Performance Package 4-Door,24
EcoSport SES,24
Compass High Altitude,24
Land Cruiser,24
Sonata Hybrid Base,24
RDX Technology Package,24
Sprinter 2500 High Roof,24
Z4 3.0i Roadster,23
230 i,23
CLK-Class 550,23
GLB 250 Base 4MATIC,23
Q50 3.0T Premium,23
Gallardo Base,23
Viper SRT-10,23
Niro EX,23
Legacy 2.5 GT spec.B,23
Model 3 Mid Range,23
Quattroporte S,23
X6 xDrive35i,23
Elise Base,23
EQS 450 4MATIC,23
Accord Sport,23
Lancer Evolution IX,23
New Compass Trailhawk,22
300C SRT8,22
Bronco Sport Base,22
Silverado 2500 H/D,22
XC90 Hybrid T8 Inscription,22
XTS Premium,22
525 i,22
XF 35t Prestige,22
Equinox 2LT,22
Grand Caravan R/T,22
Martin DB7 Vantage Volante,22
CX-90 Premium,22
R1T Launch Edition,22
Mustang Mach-E California Route 1,22
Passport TrailSport,22
Outlander Sport 2.4 SE,21
S4 4.2 quattro,21
Passat 2.0T SE,21
TT RS 2.5T,21
Tiguan 2.0T SEL Premium R-Line,21
Evora 400 Base,21
S5 4.2 Premium Plus,21
X6 M50i,21
Trailblazer LT,21
SC 300 Base,21
RLX Advance Package,21
Touareg V6 Executive,21
XC90 3.2,21
Romeo Stelvio Quadrifoglio,21
Q60 3.0T Premium,20
Clarity Plug-In Hybrid Base,20
Tiguan 2.0T SE,20
XJ Base,20
Escape PHEV SE,20
Fiesta ST,20
XE 35t Premium,20
Niro EV EX,20
NX 350h Premium,19
Trax LS,19
SL-Class SL400,19
V60 Cross Country T5,19
Roadmaster Estate,19
Levante GTS,19
R8 4.2 quattro Spyder,19
C40 Recharge Pure Electric Twin Ultimate,19
Rogue S,19
530e Base,19
Charger SRT8,18
RSX Base,18
Mark LT Base,18
Q5 Premium,18
E-Class D 2.5 Turbo,18
Arteon SEL R-Line,18
X3 sDrive30i,18
CLS 450 Base,18
Encore Preferred,18
Silverado 2500 LTZ,18
Sonata Sport,18
Verano Convenience,18
Z4 3.0si,18
XC40 T5 Momentum,18
Yukon XL 1500 SLT,18
Elantra GLS,18
Quattroporte Sport GT,18
CT6-V 4.2L Blackwing Twin Turbo,18
X7 ALPINA XB7,18
Suburban 2500,18
9-3 SE,18
Gallardo LP560-4,18
320 i xDrive,18
Corolla iM Base,18
Bolt EV LT,18
GLC 300 Base,18
Leaf S,18
Crosstour EX-L,18
R-Class R 350 4MATIC,17
MazdaSpeed Miata MX-5 Base,17
MDX Sport Hybrid 3.0L w/Technology Package,17
Explorer Sport,17
Convertible Cooper,17
Crosstrek Premium,17
Civic Type R Touring,17
Z4 sDrive35is,17
Rover Range Rover 5.0L Supercharged Autobiography,17
XF Luxury,17
DTS Base,17
Air Pure,17
Titan SE,17
XF S,17
Continental GTC V8,17
Rogue Sport S,16
GLS 450 Base,16
NV200 S,16
S60 Recharge Plug-In Hybrid T8 Inscription,16
Vue Hybrid Base,16
RDX Base,16
Versa 1.6 SL,16
Carrera GT Base,16
4Runner Venture,16
MC20 MC20,16
xB Base,16
Niro Plug-In Hybrid EX Premium,16
XKR Base,16
S5 3.0T Premium,15
812 Superfast Base,15
Santa Fe Sport 2.0L Turbo,15
SQ5 3.0T Premium,15
RAV4 Prime XSE,15
Maverick Lariat,15
Clubman Cooper S ALL4,15
X3 M AWD,15
Beetle 2.0T Final Edition SE,15
9-3 Aero,15
X7 M50i,15
Prius Touring,14
535 i,14
Sportage S,14
Corolla S Plus,14
A8 4.0,14
Patriot Latitude,14
A5 45 S line Premium Plus,14
Mirai Limited,14
X4 xDrive30i,14
bZ4X Limited,14
Evora Base,14
Crosstrek 2.0i Premium,14
Silverado 1500 Hybrid 1HY,14
Mustang EcoBoost,14
XJ8 Base,13
G70 3.3T,13
240SX Base,13
Yaris L,13
Outback 3.0 R VDC Limited,13
Mirai Base,13
X3 xDrive28i,13
AMG C 43 Base,13
Durango SLT,12
Yaris Base,12
Evora 2+2,12
Sorento Plug-In Hybrid SX,12
Charger SRT Hellcat,12
850 Turbo,12
Romeo Stelvio Base,12
XC60 3.2,12
Veyron 16.4 Grand Sport,12
Z Proto Spec,12
LS 500 Base,12
Model 3 Base,12
XT4 Sport,11
Veloster Value Edition,11
K900 5.0L,11
HS 250h Premium,11
Sentra SR,11
X7 xDrive50i,11
Elantra HEV Limited,11
EV6 Wind,11
Model 3,11
Rio S,11
e-Golf SE,11
Kona N Base,11
SX4 Base,11
e-tron Premium,11
STS V6,11
Capri XR2,10
3500 SLT,10
Type 57 Base,10
LYRIQ Luxury,10
124 Spider Abarth,10
Sportage Plug-In Hybrid X-Line,10
Corolla Hybrid LE,10
Accent SEL,10
H2 SUT,10
370Z NISMO,10
Prowler Base,10
Tucson Hybrid SEL Convenience,10
1500 Cheyenne,10
IONIQ 5 SE,9
X4 M40i,9
allroad 2.0T Prestige,9
Maverick XL,9
500X Trekking Plus,9
X5 sDrive35i,9
Stinger GT,9
Niro Plug-In Hybrid EX,9
Prius Plug-in Base,9
Silverado 3500 High Country,9
2 Launch Edition,9
XC70 T6 Platinum,9
Pacifica Hybrid Touring L,9
Ascent Limited 7-Passenger,9
Countryman Cooper S,9
Ram 1500 SRT-10,9
GR Corolla Circuit Edition,9
S-10 LS,8
Sienna XSE 25th Anniversary,8
C-Class 4MATIC Sedan,8
CT 200h Base,8
HUMMER EV Edition 1,8
Z3 3.0i Roadster,8
Integra w/A-Spec Tech Package,7
Convertible John Cooper Works,7
Insight EX,7
740e xDrive iPerformance,7
Mirage ES,7
Countryman Cooper,6
Model 3 Standard Range,6
Wagoneer Series II 4x4,6
500e Battery Electric,6
Corvette ZR-1,6
X6 sDrive35i,5
XLR V,4
XLR Base,4
i3 Base,4
Impreza Premium,4
X5 3.0si,3
X3 xDrive35i,3
ForTwo Pure,3
X5 eDrive xDrive40e,3
IONIQ Plug-In Hybrid SEL,3
X5 xDrive 35i Sport Activity,2
X5 xDrive40e,2
Forte LX,2
V60 T6 R-Design Platinum,2
X5 3.0i,1
allroad 2.7T,1
