engine,count
300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,140
323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,140
200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,138
158.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,138
255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,138
270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,138
220.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,137
142.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,136
285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,136
277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,136
278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,135
335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,135
315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,134
496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,134
252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,134
147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,133
2.9L V6 24V GDI DOHC Twin Turbo,133
375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,133
240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,132
247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,132
401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel,132
375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,131
207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,131
1.6L I4 16V GDI DOHC Turbo,130
2.5 Liter,130
159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,130
3.9L V8 32V GDI DOHC Twin Turbo,130
370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,130
510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,129
409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,128
611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,128
192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,126
416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,126
778.0HP Electric Motor Electric Fuel System,126
228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,126
429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,126
717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,125
143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,122
169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,122
187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,122
262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,121
318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,121
2.5L I4 16V MPFI DOHC,120
1.5L I4 16V GDI DOHC Turbo,119
150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,119
480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,118
378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,118
3.5L V6 24V PDI DOHC Hybrid,117
6.2L V8 16V MPFI SOHC Flexible Fuel,117
275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,117
191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,117
235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,117
536.0HP Electric Motor Electric Fuel System,116
240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,116
500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,116
451.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,115
454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,115
240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,115
240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,114
394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,113
225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,113
6.7L I6 24V DDI OHV Turbo Diesel,113
444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,112
400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,112
2.4L I4 16V PDI DOHC Turbo,111
440.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,110
310.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,110
375.0HP Electric Motor Electric Fuel System,109
206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,109
296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,109
467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,109
390.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,108
220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,108
4.7L 8 Cylinder Engine Gasoline Fuel,107
130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,107
147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,106
300.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,106
350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,105
305.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,104
601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,104
265.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,104
2.4 Liter,104
2.4L H4 16V GDI DOHC Turbo,103
170.0HP 0.65L Electric Motor Electric Fuel System,103
273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,103
I4,103
200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,102
340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,102
460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,101
168.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,101
181.0HP 1.5L 3 Cylinder Engine Gasoline Fuel,100
640.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,100
500.0HP 5.0L 10 Cylinder Engine Gasoline Fuel,100
186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,100
545.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,100
300.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,99
160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,99
1.3L I3 12V GDI DOHC Turbo,99
148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,98
571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,98
5.6 Liter,98
2.0L I4 16V GDI DOHC,97
411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,97
500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,97
283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,97
295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,96
295.0HP Electric Motor Electric Fuel System,96
248.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,95
266.0HP Electric Motor Electric Fuel System,93
591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,93
224.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,93
227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,93
6.6L V8 16V GDI OHV,93
317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,91
3.5L V6 24V PDI DOHC Twin Turbo Hybrid,91
153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,90
540.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,88
174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,88
280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,88
355.0HP Electric Motor Electric Fuel System,88
3.4L V6 24V PDI DOHC Twin Turbo,87
237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,87
2.5L H4 16V GDI DOHC,87
165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,87
3.8L V8 32V MPFI DOHC Twin Turbo,86
523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,86
5.0L 8 Cylinder,86
330.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,86
250.0HP 7.3L 8 Cylinder Engine Diesel Fuel,85
502.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,85
303.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,85
255.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,85
3.0L I6 24V DDI DOHC Turbo Diesel,85
485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,84
132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,84
140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,84
365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,83
2.0L I4 16V GDI DOHC Turbo Flexible Fuel,83
218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,83
205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,83
390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,83
300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,82
355.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,82
390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,82
260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,82
295.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,81
591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,81
190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,81
167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,81
2.0L I4 16V MPFI DOHC Hybrid,81
550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,80
175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,80
3.0L I6 24V GDI DOHC Twin Turbo,79
670.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,79
6.2L V8 16V GDI OHV Supercharged,79
320.0HP Electric Motor Electric Fuel System,79
602.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,79
140.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,79
354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,78
3.0L V6 24V GDI DOHC Supercharged,77
250.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,77
400.0HP 6.7L 8 Cylinder Engine Diesel Fuel,76
366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,76
206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,75
370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,75
266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,75
330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,75
3.5 Liter GTDI,75
5.7L V8 32V MPFI DOHC,75
440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,74
235.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,73
174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,73
400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,73
375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,72
215.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,72
291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,72
400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,72
5.7 Liter,71
2.4L I4 16V MPFI SOHC,70
397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,70
493.0HP 5.0L 10 Cylinder Engine Gasoline Fuel,69
455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,69
264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,69
563.0HP 6.7L 12 Cylinder Engine Gasoline Fuel,69
276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,69
450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,69
329.0HP Electric Motor Electric Fuel System,69
173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,69
4.4 Liter DOHC Twin Turbo,68
518.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,68
525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,68
203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,68
4.0 Liter TFSI,68
232.0HP 1.3L Rotary engine Gasoline Fuel,67
201.0HP Electric Motor Electric Fuel System,67
493.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,67
210.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,67
430.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,67
184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,67
346.0HP Electric Motor Electric Fuel System,67
362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,66
Intercooled Turbo Premium Unleaded I-4 2.0 L/122,66
225.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,66
315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,65
616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,65
265.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,65
138.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,64
Intercooled Turbo Diesel V-8 6.7 L/406,64
200.0HP Electric Motor Electric Fuel System,64
1.5L I3 12V GDI DOHC Turbo,64
147.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,64
360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,64
369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,63
201.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,63
173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,63
393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,62
2.0 Liter TSI,62
245.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,62
3.0L,62
510.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,62
170.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,62
181.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,62
1020.0HP Electric Motor Electric Fuel System,62
375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,62
161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,62
326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,61
422.0HP Electric Motor Electric Fuel System,61
6.8L V12 48V GDI DOHC Twin Turbo,61
276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,61
245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,61
3.6 Liter DOHC,60
797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,60
390.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,59
192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,59
4.0L V8 32V MPFI DOHC Twin Turbo,59
190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,59
115.0HP 1.7L 4 Cylinder Engine Gasoline Fuel,59
573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,58
500.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,58
296.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,58
450.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,58
168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,58
182.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,58
132.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,58
420.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,57
2.7L V6 24V GDI DOHC Twin Turbo,57
759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,57
3.4L V6 24V PDI DOHC Twin Turbo Hybrid,57
4.7 Liter Twin Turbo,57
348.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,56
286.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,56
133.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,56
6.0L 8 Cylinder Engine Gasoline Fuel,56
6.4 Liter,56
255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,56
473.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,56
3.0 Liter DOHC Turbo,55
271.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,55
305.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,54
557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,54
5.2L V12 48V GDI DOHC Twin Turbo,53
263.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,53
521.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,53
Standard Range Battery,53
616.0HP Electric Motor Electric Fuel System,53
375.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,52
300.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,52
345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,52
325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,52
6.2 Liter,52
6.3L V12 48V GDI DOHC,52
258.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,52
500.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,52
131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,52
440.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,52
3.8L V8 32V GDI DOHC Twin Turbo,51
315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,51
270.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,51
256.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,51
188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,51
2.7L I4 16V GDI DOHC Turbo,51
270.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,51
444.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,50
624.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,50
470.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,50
245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,50
380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,50
2.9 Liter Turbo,50
245.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel,50
200.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,50
179.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,49
390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,49
550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,49
2.4L I4 16V MPFI DOHC,49
621.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,49
250.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel,49
166.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,49
146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,49
290.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,49
355.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,48
200.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,48
640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,48
285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,48
360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,48
275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,48
V8,48
171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,48
285.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,47
305.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,47
298.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,47
300.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,47
602.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,47
325.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,47
362.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,47
444.0HP 2.9L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,46
180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,46
295.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,46
227.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,46
261.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,46
444.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,46
286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,45
729.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,45
365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,45
6.6 Liter Twin Turbo,45
363.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,45
400.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,45
169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,45
651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,44
4.0 Liter Turbo,44
270.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,44
3.5L V6 24V GDI DOHC,44
275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,44
101.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,44
201.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,44
385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,44
710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,43
153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,43
240.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,43
453.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,43
2.0 Liter DOHC T/C,42
660.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,42
324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,42
261.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,42
261.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,42
420.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,42
2.5L I4 16V PDI DOHC Hybrid,41
5.3 Liter,41
212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,41
150.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,41
260.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,41
285.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,41
702.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,41
252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,41
181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,41
260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,41
456.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,40
208.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,40
255.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,40
198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,40
372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,40
136.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,40
231.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,39
200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,39
562.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,39
471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,39
335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,39
4.2L V8 32V GDI DOHC Twin Turbo,39
266.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,39
1.2L I3 12V GDI DOHC Turbo,39
255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,39
330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,39
360.0HP 6.6L 8 Cylinder Engine Diesel Fuel,39
550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,38
303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,38
244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,38
212.0HP 1.3L Rotary engine Gasoline Fuel,38
430.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,37
245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,37
290.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,37
483.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,37
281.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,37
400.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,37
107.0HP Electric Motor Electric Fuel System,37
2.7 Liter DOHC Turbo,37
230.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,36
400.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,36
3.6L V6 24V MPFI DOHC Hybrid,36
323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,36
305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,36
162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,36
210.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,35
303.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,35
4.0L,35
416.0HP Electric Motor Electric Fuel System,35
303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,35
3.8L H6 24V MPFI DOHC,35
3.0 Liter SC ULEV,35
382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,35
550.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,35
2.5L H4 16V MPFI DOHC,35
2.0L I4 16V PDI DOHC Turbo,35
1.6L I4 16V GDI DOHC Turbo Hybrid,35
375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,34
148.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,34
420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,34
469.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,34
300.0HP 6.6L 8 Cylinder Engine Diesel Fuel,34
177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,34
3.6L V6 GDI DOHC,34
247.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,34
186.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,33
150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,33
480.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,33
550.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,33
302.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,33
3.0 Liter GTDI,33
172.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,33
306.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,33
400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,33
8.0L W16 64V GDI DOHC Twin Turbo,33
180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,33
225.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,33
788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,33
272.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,33
181.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,32
416.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,32
180.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,32
150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,32
345.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,32
276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,32
295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,32
265.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,32
255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,31
362.0HP Electric Motor Electric Fuel System,31
6.8L V12 48V GDI DOHC,31
405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,31
555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,31
340.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,30
215.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,30
355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,30
3.5L 24V SOHC I-VTEC V6,30
345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,30
3.8L V6 24V MPFI DOHC Twin Turbo,30
210.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,30
282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,30
552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,29
553.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,29
106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,29
2.0L I4 16V GDI DOHC Hybrid,29
808.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,29
152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,29
3.0L V6 24V PDI DOHC Twin Turbo,29
320.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,29
